# id	family	params_m	file_mib	min_ram_gib	recommended_ram_gib	recommended_cores	language	precision	local_filename	checksum_algo	checksum	url	notes
id	family	params_m	file_mib	min_ram_gib	recommended_ram_gib	recommended_cores	language	precision	local_filename	checksum_algo	checksum	url	notes
tiny	Tiny	39	75	1	2	2-4	multi	F16	ggml-tiny.bin	sha1	bd577a113a864445d4c299885e0cb97d4ba92b5f	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-tiny.bin	Smallest multilingual model; fastest and least accurate.
tiny.en	Tiny	39	75	1	2	2-4	en	F16	ggml-tiny.en.bin	sha1	c78c86eb1a8faa21b369bcd33207cc90d64ae9df	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-tiny.en.bin	English-only tiny model.
tiny-q5_1	Tiny	39	31	1	2	2-4	multi	Q5_1	ggml-tiny-q5_1.bin	-	-	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-tiny-q5_1.bin	Very compact multilingual quantization.
tiny.en-q5_1	Tiny	39	31	1	2	2-4	en	Q5_1	ggml-tiny.en-q5_1.bin	-	-	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-tiny.en-q5_1.bin	Very compact English-only quantization.
tiny-q8_0	Tiny	39	42	1	2	2-4	multi	Q8_0	ggml-tiny-q8_0.bin	sha256	c2085835d3f50733e2ff6e4b41ae8a2b8d8110461e18821b09a15c40c42d1cca	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-tiny-q8_0.bin	Higher-fidelity tiny quantization.
tiny.en-q8_0	Tiny	39	42	1	2	2-4	en	Q8_0	ggml-tiny.en-q8_0.bin	-	-	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-tiny.en-q8_0.bin	Higher-fidelity English tiny quantization.
base	Base	74	142	2	3	2-4	multi	F16	ggml-base.bin	sha1	465707469ff3a37a2b9b8d8f89f2f99de7299dac	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-base.bin	Good low-resource multilingual baseline.
base.en	Base	74	142	2	3	2-4	en	F16	ggml-base.en.bin	sha1	137c40403d78fd54d454da0f9bd998f78703390c	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-base.en.bin	Recommended starting point for English CPU transcription.
base-q5_1	Base	74	57	1	2	2-4	multi	Q5_1	ggml-base-q5_1.bin	-	-	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-base-q5_1.bin	Compact multilingual base model.
base.en-q5_1	Base	74	57	1	2	2-4	en	Q5_1	ggml-base.en-q5_1.bin	-	-	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-base.en-q5_1.bin	Compact English base model.
base-q8_0	Base	74	78	1	3	2-4	multi	Q8_0	ggml-base-q8_0.bin	sha256	c577b9a86e7e048a0b7eada054f4dd79a56bbfa911fbdacf900ac5b567cbb7d9	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-base-q8_0.bin	High-fidelity multilingual base quantization.
base.en-q8_0	Base	74	78	1	3	2-4	en	Q8_0	ggml-base.en-q8_0.bin	sha256	a4d4a0768075e13cfd7e19df3ae2dbc4a68d37d36a7dad45e8410c9a34f8c87e	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-base.en-q8_0.bin	High-fidelity English base quantization.
small	Small	244	466	3	5	4-6	multi	F16	ggml-small.bin	sha1	55356645c2b361a969dfd0ef2c5a50d530afd8d5	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-small.bin	Strong quality/speed balance for multilingual desktop use.
small.en	Small	244	466	3	5	4-6	en	F16	ggml-small.en.bin	sha1	db8a495a91d927739e50b3fc1cc4c6b8f6c2d022	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-small.en.bin	Strong quality/speed balance for English desktop use.
small.en-tdrz	Small	244	465	3	5	4-6	en	F16+TDRZ	ggml-small.en-tdrz.bin	sha1	b6c6e7e89af1a35c08e6de56b66ca6a02a2fdfa1	https://huggingface.co/akashmjn/tinydiarize-whisper.cpp/resolve/main/ggml-small.en-tdrz.bin	English model with local speaker-turn diarization support.
small-q5_1	Small	244	181	2	4	4-6	multi	Q5_1	ggml-small-q5_1.bin	-	-	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-small-q5_1.bin	Recommended compact multilingual desktop model.
small.en-q5_1	Small	244	181	2	4	4-6	en	Q5_1	ggml-small.en-q5_1.bin	-	-	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-small.en-q5_1.bin	Recommended compact English desktop model.
small-q8_0	Small	244	253	2	4	4-6	multi	Q8_0	ggml-small-q8_0.bin	sha256	49c8fb02b65e6049d5fa6c04f81f53b867b5ec9540406812c643f177317f779f	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-small-q8_0.bin	Higher-fidelity multilingual small quantization.
small.en-q8_0	Small	244	253	2	4	4-6	en	Q8_0	ggml-small.en-q8_0.bin	sha256	67a179f608ea6114bd3fdb9060e762b588a3fb3bd00c4387971be4d177958067	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-small.en-q8_0.bin	Higher-fidelity English small quantization.
medium	Medium	769	1536	6	10	6-8	multi	F16	ggml-medium.bin	sha1	fd9727b6e1217c2f614f9b698455c4ffd82463b4	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-medium.bin	High-quality multilingual model; demanding on CPU-only systems.
medium.en	Medium	769	1536	6	10	6-8	en	F16	ggml-medium.en.bin	sha1	8c30f0e44ce9560643ebd10bbe50cd20eafd3723	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-medium.en.bin	High-quality English model; demanding on CPU-only systems.
medium-q5_0	Medium	769	515	4	7	6-8	multi	Q5_0	ggml-medium-q5_0.bin	-	-	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-medium-q5_0.bin	Practical medium model for an average modern desktop.
medium.en-q5_0	Medium	769	515	4	7	6-8	en	Q5_0	ggml-medium.en-q5_0.bin	-	-	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-medium.en-q5_0.bin	Practical English medium model for an average modern desktop.
medium-q8_0	Medium	769	786	5	8	6-8	multi	Q8_0	ggml-medium-q8_0.bin	sha256	42a1ffcbe4167d224232443396968db4d02d4e8e87e213d3ee2e03095dea6502	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-medium-q8_0.bin	Higher-fidelity multilingual medium quantization.
medium.en-q8_0	Medium	769	786	5	8	6-8	en	Q8_0	ggml-medium.en-q8_0.bin	sha256	43fa2cd084de5a04399a896a9a7a786064e221365c01700cea4666005218f11c	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-medium.en-q8_0.bin	Higher-fidelity English medium quantization.
large-v1	Large	1550	2960	10	16	8-12	multi	F16	ggml-large-v1.bin	sha1	b1caaf735c4cc1429223d5a74f0f4d0b9b59a299	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-large-v1.bin	Legacy first-generation large model.
large-v2	Large	1550	2960	10	16	8-12	multi	F16	ggml-large-v2.bin	sha1	0f4c8e34f21cf1a914c59d8b3ce882345ad349d6	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-large-v2.bin	Legacy large-v2 multilingual model.
large-v2-q5_0	Large	1550	1126	6	10	8-12	multi	Q5_0	ggml-large-v2-q5_0.bin	sha1	00e39f2196344e901b3a2bd5814807a769bd1630	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-large-v2-q5_0.bin	Compact large-v2; prefer large-v3 or turbo for new deployments.
large-v2-q8_0	Large	1550	1580	8	12	8-12	multi	Q8_0	ggml-large-v2-q8_0.bin	sha256	fef54e6d898246a65c8285bfa83bd1807e27fadf54d5d4e81754c47634737e8c	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-large-v2-q8_0.bin	Higher-fidelity large-v2 quantization.
large-v3	Large	1550	2960	10	16	8-12	multi	F16	ggml-large-v3.bin	sha1	ad82bf6a9043ceed055076d0fd39f5f186ff8062	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-large-v3.bin	Highest-quality full multilingual Whisper model in this catalog.
large-v3-q5_0	Large	1550	1126	6	10	8-12	multi	Q5_0	ggml-large-v3-q5_0.bin	sha1	e6e2ed78495d403bef4b7cff42ef4aaadcfea8de	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-large-v3-q5_0.bin	Recommended compact option when large-v3 quality is needed.
large-v3-turbo	Turbo	809	1536	6	10	6-10	multi	F16	ggml-large-v3-turbo.bin	sha1	4af2b29d7ec73d781377bfd1758ca957a807e941	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-large-v3-turbo.bin	Fast multilingual transcription; not intended for speech translation.
large-v3-turbo-q5_0	Turbo	809	547	4	7	6-10	multi	Q5_0	ggml-large-v3-turbo-q5_0.bin	sha1	e050f7970618a659205450ad97eb95a18d69c9ee	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-large-v3-turbo-q5_0.bin	Best speed/footprint choice for many multilingual desktops.
large-v3-turbo-q8_0	Turbo	809	834	5	8	6-10	multi	Q8_0	ggml-large-v3-turbo-q8_0.bin	sha256	317eb69c11673c9de1e1f0d459b253999804ec71ac4c23c17ecf5fbe24e259a1	https://huggingface.co/ggerganov/whisper.cpp/resolve/main/ggml-large-v3-turbo-q8_0.bin	Higher-fidelity turbo quantization.
distil-small.en	Distil	166	321	2	3	4-6	en	F16	ggml-distil-small.en.bin	-	-	https://huggingface.co/distil-whisper/distil-small.en/resolve/main/ggml-distil-small.en.bin	Official GGML Distil-Whisper; English speech recognition only.
distil-medium.en	Distil	394	758	4	6	6-8	en	F16	ggml-distil-medium.en.bin	-	-	https://huggingface.co/distil-whisper/distil-medium.en/resolve/main/ggml-medium-32-2.en.bin	Official legacy-named GGML file, saved locally with a canonical Distil name.
distil-large-v2	Distil	756	1449	6	10	8-12	en	F16	ggml-distil-large-v2.bin	sha256	2ed2bbe6c4138b3757f292b0622981bdb3d02bcac57f77095670dac85fab3cd6	https://huggingface.co/distil-whisper/distil-large-v2/resolve/main/ggml-large-32-2.en.bin	English-only legacy Distil large; v3 is generally preferred.
distil-large-v3	Distil	756	1450	6	10	8-12	en	F16	ggml-distil-large-v3.bin	-	-	https://huggingface.co/distil-whisper/distil-large-v3-ggml/resolve/main/ggml-distil-large-v3.bin	Official GGML checkpoint optimized for English long-form transcription.
distil-large-v3.5	Distil	756	1450	6	10	8-12	en	F16	ggml-distil-large-v3.5.bin	-	-	https://huggingface.co/distil-whisper/distil-large-v3.5-ggml/resolve/main/ggml-model.bin	Newest official Distil GGML checkpoint in this catalog; English only.
